,data_transakcji,data_księgowania,dane_kontrahenta,tytuł,nr_rachunku,nazwa_banku,nr_transakcji,kwota_transakcji_(waluta_rachunku),waluta,konto,saldo_po_transakcji,waluta_salda,red_flag
0,2019-01-01,2019-01-03,Orlen,Płatność Orlen,PL47525525636630696177023059,mBank,7979693581,-227.33,PLN,Wspólne,9772.67,PLN,0
1,2019-01-01,2019-01-02,Biuro Notarialne,Płatność Biuro Notarialne,PL72634487227183186158541068,ING,9417345785,-9887.59,PLN,Konto w EUR,-114.92,PLN,0
2,2019-01-04,2019-01-04,PokerStars,Płatność PokerStars,PL85502768236074445829791826,Santander,5125063457,-1169.17,EUR,Konto w EUR,-1284.09,EUR,1
3,2019-01-06,2019-01-07,Amazon,Płatność Amazon,PL74448559599291860253081347,mBank,5746911190,-701.06,USD,Konto w USD,-1985.15,USD,0
4,2019-01-10,2019-01-11,Urząd Skarbowy,Płatność Urząd Skarbowy,PL99999005218950489518997577,mBank,5978957837,-5315.05,PLN,Konto w USD,-7300.2,PLN,0
5,2019-01-12,2019-01-12,Vattenfall,Płatność Vattenfall,PL46105326415946177379439639,mBank,9271820759,-288.57,PLN,Wspólne,-7588.77,PLN,0
6,2019-01-12,2019-01-14,Biuro Nieruchomości ZEFIR,Płatność Biuro Nieruchomości ZEFIR,PL48661124301808887495799701,PKO BP,2243977646,-460288.86,PLN,Konto w USD,-467877.63,PLN,1
7,2019-01-12,2019-01-13,Lidl,Płatność Lidl,PL25978353849347368115669514,mBank,3039340985,-190.85,PLN,Wspólne,-468068.48,PLN,0
8,2019-01-15,2019-01-15,Orlen,Płatność Orlen,PL74736190778268608985679963,PKO BP,6259640788,-272.68,PLN,Konto w EUR,-468341.16,PLN,0
9,2019-01-16,2019-01-16,Allegro,Płatność Allegro,PL94880708185184984968978482,mBank,2843253517,-283.85,PLN,Moje,-468625.01,PLN,0
10,2019-01-16,2019-01-17,Santander Leasing,Płatność Santander Leasing,PL93313349582675637840056903,PKO BP,3744121107,-2741.75,PLN,Moje,-471366.76,PLN,0
11,2019-01-17,2019-01-18,Santander Leasing,Płatność Santander Leasing,PL22890427963100400825098164,ING,3816548023,-1915.42,PLN,Konto w USD,-473282.18,PLN,0
12,2019-01-18,2019-01-20,Booking.com,Płatność Booking.com,PL30240126829269410166725477,Santander,5548072833,-77.77,EUR,Wspólne,-473359.95,EUR,0
13,2019-01-18,2019-01-19,Zabka,Płatność Zabka,PL84581806181951649260624593,Millennium,9671964124,-189.74,PLN,Wspólne,-473549.69,PLN,0
14,2019-01-19,2019-01-21,Firma XYZ,Płatność Firma XYZ,PL28232470531590675688274853,PKO BP,5205684275,7597.87,PLN,Konto w EUR,-465951.82,PLN,0
15,2019-01-21,2019-01-21,Firma XYZ,Płatność Firma XYZ,PL56090089682921022362704651,Santander,2704503228,7675.63,PLN,Konto w EUR,-458276.19,PLN,0
16,2019-01-22,2019-01-23,Vattenfall,Płatność Vattenfall,PL35447055315748263493317350,Santander,6568587223,-275.75,PLN,Konto w USD,-458551.94,PLN,0
17,2019-01-24,2019-01-25,Allegro,Płatność Allegro,PL26849101044577254136747295,Santander,9157338139,-277.63,PLN,Moje,-458829.57,PLN,0
18,2019-01-25,2019-01-25,Allegro,Płatność Allegro,PL88241998953773265797623168,ING,1471747600,-136.76,PLN,Konto w USD,-458966.33,PLN,0
19,2019-01-25,2019-01-26,Firma XYZ,Płatność Firma XYZ,PL23684061496833173949067998,Millennium,7055895360,7577.91,PLN,Moje,-451388.42,PLN,0
20,2019-01-28,2019-01-28,Santander Leasing,Płatność Santander Leasing,PL43803625757278058632113832,mBank,1476473160,-2618.31,PLN,Moje,-454006.73,PLN,0
21,2019-01-29,2019-01-30,Firma XYZ,Płatność Firma XYZ,PL27576980598655580699847686,Santander,7878956891,6661.15,PLN,Moje,-447345.58,PLN,0
22,2019-01-29,2019-01-30,Booking.com,Płatność Booking.com,PL83694266933367247109556268,Santander,8873666146,-234.95,EUR,Wspólne,-447580.53,EUR,0
23,2019-01-29,2019-01-31,Vattenfall,Płatność Vattenfall,PL17054777995327513786791761,Millennium,8264315865,-230.02,PLN,Moje,-447810.55,PLN,0
24,2019-01-31,2019-02-01,Biedronka,Płatność Biedronka,PL86384581017166783416566816,Millennium,1929903933,-479.76,PLN,Moje,-448290.31,PLN,0
25,2019-02-02,2019-02-03,Vattenfall,Płatność Vattenfall,PL71967669664937982081434251,ING,9483932995,-286.31,PLN,Moje,-448576.62,PLN,0
26,2019-02-04,2019-02-06,Zabka,Płatność Zabka,PL33292169499307879697422701,Millennium,9081840882,-28.56,PLN,Konto w USD,-448605.18,PLN,0
